127.0.0.1, 2024-02-23 15:40:34, GET, /, HTTP/1.1, 303, 0.000997
127.0.0.1, 2024-02-23 15:40:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.351637
127.0.0.1, 2024-02-23 15:40:35, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000999
127.0.0.1, 2024-02-23 15:40:36, GET, /admin/default/index, HTTP/1.1, 200, 0.130651
127.0.0.1, 2024-02-23 15:40:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2024-02-23 15:40:39, POST, /admin/default/index, HTTP/1.1, 303, 0.010970
127.0.0.1, 2024-02-23 15:40:39, GET, /admin/default/site, HTTP/1.1, 200, 0.035903
127.0.0.1, 2024-02-23 15:40:39, GET, /admin/static/_2.27.1/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-02-23 15:40:39, GET, /admin/static/_2.27.1/images/folder_locked.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2024-02-23 15:40:39, GET, /admin/static/_2.27.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-02-23 15:40:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2024-02-23 15:40:39, POST, /admin/default/check_version, HTTP/1.1, 200, 0.372345
127.0.0.1, 2024-02-23 15:40:49, POST, /admin/default/site, HTTP/1.1, 303, 0.091784
127.0.0.1, 2024-02-23 15:40:49, GET, /admin/default/design/School, HTTP/1.1, 200, 0.096769
127.0.0.1, 2024-02-23 15:40:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 15:43:12, GET, /admin/default/peek/School/models/db.py, HTTP/1.1, 200, 0.035904
127.0.0.1, 2024-02-23 15:43:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 15:43:58, GET, /admin/default/design/School, HTTP/1.1, 200, 0.040920
127.0.0.1, 2024-02-23 15:43:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 15:52:40, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2024-02-23 15:52:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.012999
